name,team,battingStyle,bowlingStyle,playingRole
Mark Watt,Scotland,Left hand Bat,Slow Left arm Orthodox,Bowler
Brad Wheal,Scotland,Right hand Bat,Right arm Fast medium,Bowler
Josh Davey,Scotland,Right hand Bat,Right arm Medium fast,Bowler
Safyaan Sharif,Scotland,Right hand Bat,Right arm Medium fast,Bowler
Regis Chakabva,Zimbabwe,Right hand Bat,Right arm Offbreak,Wicketkeeper Batter
Craig Ervine (c),Zimbabwe,Left hand Bat,Right arm Offbreak,Middle order Batter
Wessly Madhevere,Zimbabwe,Right hand Bat,Right arm Offbreak,Allrounder
Sean Williams,Zimbabwe,Left hand Bat,Slow Left arm Orthodox,Middle order Batter
Sikandar Raza,Zimbabwe,Right hand Bat,Right arm Offbreak,Batting Allrounder
Milton Shumba,Zimbabwe,Left hand Bat,Slow Left arm Orthodox,Top order Batter
Ryan Burl,Zimbabwe,Left hand Bat,Legbreak,Middle order Batter
Paul Stirling,Ireland,Right hand Bat,Right arm Offbreak,Batting Allrounder
Andy Balbirnie (c),Ireland,Right hand Bat,Right arm Offbreak,Batter
Lorcan Tucker,Ireland,Right hand Bat,,Wicketkeeper Batter
Harry Tector,Ireland,Right hand Bat,Right arm Offbreak,Middle order Batter
Curtis Campher,Ireland,Right hand Bat,Right arm Medium fast,Allrounder
George Dockrell,Ireland,Right hand Bat,Slow Left arm Orthodox,Allrounder
Gareth Delany,Ireland,Right hand Bat,Legbreak Googly,Batting Allrounder
Mark Adair,Ireland,Right hand Bat,Right arm Fast medium,Bowling Allrounder
Simi Singh,Ireland,Right hand Bat,"Right arm Offbreak, Legbreak Googly",Bowling Allrounder
Luke Jongwe,Zimbabwe,Right hand Bat,Right arm Fast medium,Bowler
Barry McCarthy,Ireland,Right hand Bat,Right arm Fast medium,Bowler
Josh Little,Ireland,Right hand Bat,Left arm Fast medium,Bowler
Richard Ngarava,Zimbabwe,Left hand Bat,Left arm Fast medium,Bowler
Tendai Chatara,Zimbabwe,Right hand Bat,Right arm Fast medium,Bowler
Blessing Muzarabani,Zimbabwe,Right hand Bat,Right arm Fast medium,Bowler
Gerhard Erasmus (c),Namibia,Right hand Bat,Right arm Offbreak,Allrounder
Timm van der Gugten,Netherlands,Right hand Bat,Right arm Fast medium,Bowler
Charith Asalanka,Sri Lanka,Left hand Bat,Right arm Offbreak,Batting Allrounder
Aryan Lakra,United Arab Emirates,Left hand Bat,Slow Left arm Orthodox,Bowler
Dasun Shanaka,Sri Lanka,Right hand Bat,Right arm Medium,Allrounder
Johnson Charles,West Indies,Right hand Bat,,Wicketkeeper Batter
Regis Chakabva (c),Zimbabwe,Right hand Bat,Right arm Offbreak,Wicketkeeper Batter
Tony Munyonga,Zimbabwe,Right hand Bat,Right arm Offbreak,Allrounder
Lahiru Kumara,Sri Lanka,Left hand Bat,Right arm Fast,Bowler
Binura Fernando,Sri Lanka,Right hand Bat,Left arm Medium fast,Bowler
Alishan Sharafu,United Arab Emirates,Right hand Bat,Right arm Medium,Opening Batter
Zane Green,Namibia,Left hand Bat,,Wicketkeeper Batter
Ruben Trumpelmann,Namibia,Right hand Bat,Left arm Fast,Bowler
Ahmed Raza,United Arab Emirates,Right hand Bat,Slow Left arm Orthodox,Bowler
Finn Allen,New Zealand,Right hand Bat,,Top order Batter
Kane Williamson (c),New Zealand,Right hand Bat,Right arm Offbreak,Top order Batter
Glenn Phillips,New Zealand,Right hand Bat,Right arm Offbreak,Wicketkeeper Batter
David Warner,Australia,Left hand Bat,Legbreak,Opening Batter
Aaron Finch (c),Australia,Right hand Bat,Slow Left arm Orthodox,Top order Batter
Mitchell Marsh,Australia,Right hand Bat,Right arm Medium,Allrounder
Glenn Maxwell,Australia,Right hand Bat,Right arm Offbreak,Batting Allrounder
Marcus Stoinis,Australia,Right hand Bat,Right arm Medium,Batting Allrounder
Tim David,Australia,Right hand Bat,Right arm Offbreak,Middle order Batter
Matthew Wade,Australia,Left hand Bat,Right arm Medium,Wicketkeeper Batter
Pat Cummins,Australia,Right hand Bat,Right arm Fast,Bowler
Mitchell Starc,Australia,Left hand Bat,Left arm Fast,Bowler
Adam Zampa,Australia,Right hand Bat,Legbreak Googly,Bowler
Devon Conway,New Zealand,Left hand Bat,Right arm Medium,Wicketkeeper Batter
James Neesham,New Zealand,Left hand Bat,Right arm Medium fast,Batting Allrounder
Josh Hazlewood,Australia,Left hand Bat,Right arm Fast medium,Bowler
Trent Boult,New Zealand,Right hand Bat,Left arm Fast medium,Bowler
Tim Southee,New Zealand,Right hand Bat,Right arm Medium fast,Bowler
Mitchell Santner,New Zealand,Left hand Bat,Slow Left arm Orthodox,Bowling Allrounder
Lockie Ferguson,New Zealand,Right hand Bat,Right arm Fast,Bowler
Ish Sodhi,New Zealand,Right hand Bat,Legbreak,Bowler
Hazratullah Zazai,Afghanistan,Left hand Bat,Slow Left arm Orthodox,Opening Batter
Rahmanullah Gurbaz,Afghanistan,Right hand Bat,,Wicketkeeper Batter
Ibrahim Zadran,Afghanistan,Right hand Bat,Right arm Medium fast,Opening Batter
Usman Ghani,Afghanistan,Right hand Bat,,Opening Batter
Najibullah Zadran,Afghanistan,Left hand Bat,Right arm Offbreak,Middle order Batter
Mohammad Nabi,Afghanistan,Right hand Bat,Right arm Offbreak,Allrounder
Azmatullah Omarzai,Afghanistan,Right hand Bat,Right arm Medium fast,Allrounder
Rashid Khan,Afghanistan,Right hand Bat,Legbreak Googly,Bowling Allrounder
Mujeeb Ur Rahman,Afghanistan,Right hand Bat,Right arm Offbreak,Bowler
Fazalhaq Farooqi,Afghanistan,Right hand Bat,Left arm Fast medium,Bowler
Jos Buttler (c),England,Right hand Bat,,Wicketkeeper Batter
Alex Hales,England,Right hand Bat,Right arm Medium,Opening Batter
Dawid Malan,England,Left hand Bat,Legbreak,Top order Batter
Ben Stokes,England,Left hand Bat,Right arm Fast medium,Allrounder
Harry Brook,England,Right hand Bat,Right arm Medium,Batter
Fareed Ahmad,Afghanistan,Left hand Bat,Left arm Fast medium,Bowler
Liam Livingstone,England,Right hand Bat,Legbreak,Batting Allrounder
Moeen Ali,England,Left hand Bat,Right arm Offbreak,Batting Allrounder
Chris Woakes,England,Right hand Bat,Right arm Fast medium,Allrounder
Mark Wood,England,Right hand Bat,Right arm Fast,Bowler
Sam Curran,England,Left hand Bat,Left arm Medium fast,Allrounder
Adil Rashid,England,Right hand Bat,Legbreak,Bowler
Mohammad Rizwan,Pakistan,Right hand Bat,,Wicketkeeper Batter
Babar Azam (c),Pakistan,Right hand Bat,Right arm Offbreak,Batter
Iftikhar Ahmed,Pakistan,Right hand Bat,Right arm Offbreak,Middle order Batter
Shadab Khan,Pakistan,Right hand Bat,Legbreak,Allrounder
Haider Ali,Pakistan,Right hand Bat,,Middle order Batter
Mohammad Nawaz,Pakistan,Left hand Bat,Slow Left arm Orthodox,Allrounder
Asif Ali,Pakistan,Right hand Bat,Right arm Offbreak,Middle order Batter
Shaheen Shah Afridi,Pakistan,Left hand Bat,Left arm Fast,Bowler
KL Rahul,India,Right hand Bat,,Opening Batter
Rohit Sharma (c),India,Right hand Bat,Right arm Offbreak,Top order Batter
Suryakumar Yadav,India,Right hand Bat,"Right arm Medium, Right arm Offbreak",Batter
Axar Patel,India,Left hand Bat,Slow Left arm Orthodox,Bowling Allrounder
Hardik Pandya,India,Right hand Bat,Right arm Medium fast,Allrounder
Dinesh Karthik,India,Right hand Bat,Right arm Offbreak,Wicketkeeper Batter
Shan Masood,Pakistan,Left hand Bat,Right arm Medium fast,Opening Batter
Haris Rauf,Pakistan,Right hand Bat,Right arm Fast,Bowler
Virat Kohli,India,Right hand Bat,Right arm Medium,Top order Batter
Ravichandran Ashwin,India,Right hand Bat,Right arm Offbreak,Bowling Allrounder
Bhuvneshwar Kumar,India,Right hand Bat,Right arm Medium,Bowler
Arshdeep Singh,India,Left hand Bat,Left arm Medium fast,Bowler
Mohammed Shami,India,Right hand Bat,Right arm Fast,Bowler
Naseem Shah,Pakistan,Right hand Bat,Right arm Fast,Bowler
Najmul Hossain Shanto,Bangladesh,Left hand Bat,Right arm Offbreak,Top order Batter
Soumya Sarkar,Bangladesh,Left hand Bat,Right arm Medium fast,Middle order Batter
Litton Das,Bangladesh,Right hand Bat,Right arm Offbreak,Wicketkeeper Batter
Shakib Al Hasan,Bangladesh,Left hand Bat,Slow Left arm Orthodox,Allrounder
Afif Hossain,Bangladesh,Left hand Bat,Right arm Offbreak,Allrounder
Yasir Ali,Bangladesh,Right hand Bat,Right arm Offbreak,Middle order Batter
Nurul Hasan,Bangladesh,Right hand Bat,,Wicketkeeper Batter
Taskin Ahmed,Bangladesh,Left hand Bat,Right arm Fast,Bowler
Shariz Ahmad,Netherlands,Left hand Bat,Legbreak Googly,Bowler
Mosaddek Hossain,Bangladesh,Right hand Bat,Right arm Offbreak,Middle order Batter
Hasan Mahmud,Bangladesh,Right hand Bat,Right arm Medium,Bowler
Mustafizur Rahman,Bangladesh,Left hand Bat,Left arm Fast medium,Bowler
Quinton de Kock,South Africa,Left hand Bat,,Wicketkeeper Batter
Temba Bavuma (c),South Africa,Right hand Bat,Right arm Medium,Middle order Batter
Kagiso Rabada,South Africa,Left hand Bat,Right arm Fast,Bowler
Wayne Parnell,South Africa,Left hand Bat,Left arm Medium fast,Bowler
Lungi Ngidi,South Africa,Right hand Bat,Right arm Fast medium,Bowler
Keshav Maharaj,South Africa,Right hand Bat,Slow Left arm Orthodox,Bowler
Anrich Nortje,South Africa,Right hand Bat,Right arm Fast,Bowler
Ashton Agar,Australia,Left hand Bat,Slow Left arm Orthodox,Bowler
Fionn Hand,Ireland,Right hand Bat,Right arm Medium,Bowling Allrounder
Rilee Rossouw,South Africa,Left hand Bat,Right arm Offbreak,Top order Batter
Tristan Stubbs,South Africa,Right hand Bat,Right arm Offbreak,Wicketkeeper Batter
Aiden Markram,South Africa,Right hand Bat,Right arm Offbreak,Opening Batter
Shakib Al Hasan (c),Bangladesh,Left hand Bat,Slow Left arm Orthodox,Allrounder
Mehidy Hasan Miraz,Bangladesh,Right hand Bat,Right arm Offbreak,Allrounder
David Miller,South Africa,Left hand Bat,Right arm Offbreak,Middle order Batter
Tabraiz Shamsi,South Africa,Right hand Bat,Left arm Wrist spin,Bowler
Brad Evans,Zimbabwe,Right hand Bat,Right arm Fast,Allrounder
Mohammad Wasim,Pakistan,Right hand Bat,Right arm Fast medium,Allrounder
Daryl Mitchell,New Zealand,Right hand Bat,Right arm Medium,Allrounder
Kasun Rajitha,Sri Lanka,Right hand Bat,Right arm Medium fast,Bowler
Stephan Myburgh,Netherlands,Left hand Bat,Right arm Offbreak,Opening Batter
Fakhar Zaman,Pakistan,Left hand Bat,Slow Left arm Orthodox,Opening Batter
Brandon Glover,Netherlands,Right hand Bat,Right arm Fast,Bowler
Deepak Hooda,India,Right hand Bat,Right arm Offbreak,Allrounder
Gulbadin Naib,Afghanistan,Right hand Bat,Right arm Medium fast,Batting Allrounder
Mohammad Nabi (c),Afghanistan,Right hand Bat,Right arm Offbreak,Allrounder
Shoriful Islam,Bangladesh,Left hand Bat,Left arm Medium fast,Bowler
Mohammad Haris,Pakistan,Right hand Bat,Right arm Offbreak,Middle order Batter
Heinrich Klaasen,South Africa,Right hand Bat,Right arm Offbreak,Wicketkeeper Batter
Cameron Green,Australia,Right hand Bat,Right arm Fast medium,Batting Allrounder
Steven Smith,Australia,Right hand Bat,Legbreak Googly,Middle order Batter
Matthew Wade (c),Australia,Left hand Bat,Right arm Medium,Wicketkeeper Batter
Kane Richardson,Australia,Right hand Bat,Right arm Fast medium,Bowler
Darwish Rasooli,Afghanistan,Right hand Bat,Right arm Offbreak,Top order Batter
Naveen-ul-Haq,Afghanistan,Right hand Bat,Right arm Medium fast,Bowler
Nasum Ahmed,Bangladesh,Left hand Bat,Slow Left arm Orthodox,Bowler
Ebadot Hossain,Bangladesh,Right hand Bat,Right arm Fast medium,Bowler
Rishabh Pant,India,Left hand Bat,,Wicketkeeper Batter
Wellington Masakadza,Zimbabwe,Left hand Bat,Slow Left arm Orthodox,Bowler
Chris Jordan,England,Right hand Bat,Right arm Fast medium,Bowler
Phil Salt,England,Right hand Bat,Right arm Offbreak,Wicketkeeper Batter
